id,name,repeat+AF8-id,batch+AF8-size,learning+AF8-rate,env+AF8-name,epsilon+AF8-decay,debug,is+AF8-curiosity,episode,e+AF8-score,e+AF8-score+AF8-min,e+AF8-score+AF8-max,score+AF8-avg,score+AF8-best,loss,,,,,,,,,,,,,,,,,,
390,apr+AF8-28+AF8-cart+AF8-pole+AF8-grid+AF8-39+AF8-390,39,64,0.1,CartPole+AC0-v0,0.001,False,False,50,61,1,1,20.04,61,3.51847936090876,,,,,,,,,,,,,,,,,,
432,apr+AF8-28+AF8-cart+AF8-pole+AF8-grid+AF8-44+AF8-432,44,64,0.01,CartPole+AC0-v0,0.01,False,False,50,10,1,1,14.48,48,1.85012718439102,,,,,,,,,,,,,,,,,,
330,apr+AF8-28+AF8-cart+AF8-pole+AF8-grid+AF8-33+AF8-330,33,32,0.1,CartPole+AC0-v0,0.0001,False,False,50,10,1,1,23.98,58,5.02251582145691,,,,,,,,,,,,,,,,,,
400,apr+AF8-28+AF8-cart+AF8-pole+AF8-grid+AF8-40+AF8-400,40,64,0.001,CartPole+AC0-v0,0.0001,False,False,50,46,1,1,20.88,56,2.98294931909312,,,,,,,,,,,,,,,,,,
435,apr+AF8-28+AF8-cart+AF8-pole+AF8-grid+AF8-44+AF8-435,44,64,0.01,CartPole+AC0-v0,0.01,False,False,50,15,1,1,11.8,30,2.04417991638184,,,,,,,,,,,,,,,,,,
394,apr+AF8-28+AF8-cart+AF8-pole+AF8-grid+AF8-40+AF8-394,40,64,0.001,CartPole+AC0-v0,0.0001,False,False,50,13,1,1,21.7,59,3.40209111800561,,,,,,,,,,,,,,,,,,
311,apr+AF8-28+AF8-cart+AF8-pole+AF8-grid+AF8-32+AF8-311,32,32,0.01,CartPole+AC0-v0,0.0001,False,False,50,9,1,1,23.54,105,2.93923438257641,,,,,,,,,,,,,,,,,,
321,apr+AF8-28+AF8-cart+AF8-pole+AF8-grid+AF8-33+AF8-321,33,32,0.1,CartPole+AC0-v0,0.0001,False,False,50,27,1,1,24.24,119,7.97462535787512,,,,,,,,,,,,,,,,,,
367,apr+AF8-28+AF8-cart+AF8-pole+AF8-grid+AF8-37+AF8-367,37,64,0.001,CartPole+AC0-v0,0.001,False,False,50,13,1,1,17.38,43,3.29278190319355,,,,,,,,,,,,,,,,,,
366,apr+AF8-28+AF8-cart+AF8-pole+AF8-grid+AF8-37+AF8-366,37,64,0.001,CartPole+AC0-v0,0.001,False,False,50,10,1,1,16.32,47,2.66805985569954,,,,,,,,,,,,,,,,,74,2.84477866292
387,apr+AF8-28+AF8-cart+AF8-pole+AF8-grid+AF8-39+AF8-387,39,64,0.1,CartPole+AC0-v0,0.001,False,False,50,15,1,1,21.02,54,4.03964722156525,,,,,,,,,,,,,,,,,,
328,apr+AF8-28+AF8-cart+AF8-pole+AF8-grid+AF8-33+AF8-328,33,32,0.1,CartPole+AC0-v0,0.0001,False,False,50,19,1,1,20.82,64,3.76068773081428,,,,,,,,,,,,,,,,,,
442,apr+AF8-28+AF8-cart+AF8-pole+AF8-grid+AF8-45+AF8-442,45,64,0.1,CartPole+AC0-v0,0.01,False,False,50,9,1,1,16.84,58,2.04949343204498,,,,,,,,,,,,,,,,,,
370,apr+AF8-28+AF8-cart+AF8-pole+AF8-grid+AF8-37+AF8-370,37,64,0.001,CartPole+AC0-v0,0.001,False,False,50,25,1,1,18.58,57,2.68377795219421,,,,,,,,,,,,,,,,,,
530,apr+AF8-28+AF8-cart+AF8-pole+AF8-grid+AF8-53+AF8-530,53,124,0.01,CartPole+AC0-v0,0.01,False,False,50,19,1,1,15.28,61,1.99684493478976,,,,,,,,,,,,,,,,,,
395,apr+AF8-28+AF8-cart+AF8-pole+AF8-grid+AF8-40+AF8-395,40,64,0.001,CartPole+AC0-v0,0.0001,False,False,50,16,1,1,22.36,55,2.86937915533781,,,,,,,,,,,,,,,,,,
327,apr+AF8-28+AF8-cart+AF8-pole+AF8-grid+AF8-33+AF8-327,33,32,0.1,CartPole+AC0-v0,0.0001,False,False,50,15,1,1,24.12,63,2.5987303952376,,,,,,,,,,,,,,,,,,
318,apr+AF8-28+AF8-cart+AF8-pole+AF8-grid+AF8-32+AF8-318,32,32,0.01,CartPole+AC0-v0,0.0001,False,False,50,16,1,1,25.4,73,4.62521163374186,,,,,,,,,,,,,,,,,,
391,apr+AF8-28+AF8-cart+AF8-pole+AF8-grid+AF8-40+AF8-391,40,64,0.001,CartPole+AC0-v0,0.0001,False,False,50,10,1,1,21.14,58,3.00114885568619,,,,,,,,,,,,,,,,,,
449,apr+AF8-28+AF8-cart+AF8-pole+AF8-grid+AF8-45+AF8-449,45,64,0.1,CartPole+AC0-v0,0.01,False,False,50,10,1,1,17.88,50,2.25862863063812,,,,,,,,,,,,,,,,,,
433,apr+AF8-28+AF8-cart+AF8-pole+AF8-grid+AF8-44+AF8-433,44,64,0.01,CartPole+AC0-v0,0.01,False,False,50,9,1,1,14.38,43,2.10811573929257,,,,,,,,,,,,,,,,,,
344,apr+AF8-28+AF8-cart+AF8-pole+AF8-grid+AF8-35+AF8-344,35,32,0.01,CartPole+AC0-v0,0.01,False,False,50,30,1,1,18.2,111,1.61406753361225,,,,,,,,,,,,,,,,,,
514,apr+AF8-28+AF8-cart+AF8-pole+AF8-grid+AF8-52+AF8-514,52,124,0.001,CartPole+AC0-v0,0.01,False,False,50,9,1,1,11.04,28,1.54833544625176,,,,,,,,,,,,,,,,,,
